#MLRT	#	IV	5	#ML	LRT
!	,	IV	1	!	!
:	,	IV	1	:	:
EptV	!	OOV	4	Ept	ptV
			
@xistylesgucci	@	IV	14	@xi	cci
I	O	IV	1	I	I
feel	V	IV	4	fee	eel
stupid	A	IV	6	stu	pid
coz	!	IV	3	coz	coz
im	L	IV	2	im	im
Arabic	^	IV	6	Ara	bic
and	&	IV	3	and	and
dont	V	IV	4	don	ont
know	V	IV	4	kno	now
why	R	IV	3	why	why
people	N	IV	6	peo	ple
do	V	IV	2	do	do
that	O	IV	4	tha	hat
lol	!	IV	3	lol	lol
:/	E	OOV	2	:/	:/
			
@byxns	@	IV	6	@by	xns
@EXOKKKAI	@	IV	9	@EX	KAI
@kyugngsoo	@	IV	10	@ky	soo
nah	!	IV	3	nah	nah
you	O	IV	3	you	you
too	R	IV	3	too	too
!	,	IV	1	!	!
Dont	V	OOV	4	Don	ont
lovey	N	IV	5	lov	vey
dovey	N	OOV	5	dov	vey
on	P	IV	2	on	on
the	D	IV	3	the	the
stage	N	IV	5	sta	age
with	P	IV	4	wit	ith
Chan	^	IV	4	Cha	han
hyung	!	OOV	5	hyu	ung
!	,	IV	1	!	!
Fighting	V	OOV	8	Fig	ing
!	,	IV	1	!	!
			
RT	~	IV	2	RT	RT
@_Aniket	@	IV	8	@_A	ket
:	,	IV	1	:	:
MMS	N	OOV	3	MMS	MMS
is	V	IV	2	is	is
looking	V	IV	7	loo	ing
very	R	IV	4	ver	ery
happy	A	IV	5	hap	ppy
,	,	IV	1	,	,
smiling	V	IV	7	smi	ing
and	&	IV	3	and	and
even	R	IV	4	eve	ven
walking	V	IV	7	wal	ing
fast	A	IV	4	fas	ast
!	,	IV	1	!	!
wah	!	IV	3	wah	wah
!!	,	IV	2	!!	!!
			
@Furtive_Glances	@	IV	16	@Fu	ces
#MatrixMakesSense	#	IV	17	#Ma	nse
A1	!	OOV	2	A1	A1
)	,	IV	1	)	)
International	N	IV	13	Int	nal
Matrix	N	OOV	6	Mat	rix
sim	!	IV	3	sim	sim
A2	^	IV	2	A2	A2
)	,	IV	1	)	)
Upto	!	IV	4	Upt	pto
2000	$	IV	4	200	000
minutes	N	IV	7	min	tes
A3	$	IV	2	A3	A3
)	,	IV	1	)	)
Unlimited	A	OOV	9	Unl	ted
data	N	IV	4	dat	ata
access	N	IV	6	acc	ess
http://t.co/nIwbQQLM4t	U	IV	22	htt	M4t
..	,	IV	2	..	..
			
RT	~	IV	2	RT	RT
@IFFAHAFG	@	IV	9	@IF	AFG
:	,	IV	1	:	:
RT	~	IV	2	RT	RT
@ffyxx	@	IV	6	@ff	yxx
:	,	IV	1	:	:
gue	!	IV	3	gue	gue
males	N	IV	5	mal	les
kenal	^	IV	5	ken	nal
sm	G	IV	2	sm	sm
lo	!	IV	2	lo	lo
			
GLOBE	N	OOV	5	GLO	OBE
USERS	N	OOV	5	USE	ERS
?	,	IV	1	?	?
dm	N	IV	2	dm	dm
me	O	IV	2	me	me
your	D	IV	4	you	our
number	N	IV	6	num	ber
txt	N	OOV	3	txt	txt
txt	N	OOV	3	txt	txt
tayo	!	OOV	4	tay	ayo
?	,	IV	1	?	?
Hahahaha	!	OOV	8	Hah	aha
			
Hahaha	!	OOV	6	Hah	aha
I	O	IV	1	I	I
just	R	IV	4	jus	ust
busted	A	IV	6	bus	ted
out	T	IV	3	out	out
laughin	V	IV	7	lau	hin
"	,	IV	1	"	"
@Speak2muchTruth	@	IV	16	@Sp	uth
:	,	IV	1	:	:
TIP	N	OOV	3	TIP	TIP
shoulda	!	OOV	7	sho	lda
ripped	V	IV	6	rip	ped
Tiny's	Z	OOV	6	Tin	y's
necklace	N	IV	8	nec	ace
off	T	IV	3	off	off
like	P	IV	4	lik	ike
he	O	IV	2	he	he
did	V	IV	3	did	did
New	A	IV	3	New	New
New	A	IV	3	New	New
#YouGonLearnTahday	#	IV	18	#Yo	day
"	,	IV	1	"	"
			
@NiggeerRich	@	IV	12	@Ni	ich
are	V	IV	3	are	are
u	O	IV	1	u	u
home	N	IV	4	hom	ome
niggah	N	OOV	6	nig	gah
?	,	IV	1	?	?
			
what	O	IV	4	wha	hat
the	D	IV	3	the	the
actual	A	IV	6	act	ual
__	G	OOV	2	__	__
is	V	IV	2	is	is
the	D	IV	3	the	the
new	A	IV	3	new	new
profile	N	IV	7	pro	ile
.	,	IV	1	.	.
hashtag	N	OOV	7	has	tag
DONE	V	OOV	4	DON	ONE
WITH	P	OOV	4	WIT	ITH
UR	L	IV	2	UR	UR
ISH	!	OOV	3	ISH	ISH
TWITTER	^	IV	7	TWI	TER
			
Im	L	IV	2	Im	Im
such	A	IV	4	suc	uch
a	D	IV	1	a	a
chill	V	IV	5	chi	ill
person	N	IV	6	per	son
But	&	IV	3	But	But
I	O	IV	1	I	I
b	V	IV	1	b	b
doin	V	IV	4	doi	oin
some	D	IV	4	som	ome
wild	A	IV	4	wil	ild
shit	N	IV	4	shi	hit
sometimes	R	IV	9	som	mes
			
LA	^	IV	2	LA	LA
DECIMA	!	OOV	6	DEC	IMA
.!!	,	IV	3	.!!	.!!
HALA	!	OOV	4	HAL	ALA
MADRIIIIDDD	N	OOV	11	MAD	DDD
..!!!	,	IV	5	..!	!!!
GOOD	A	OOV	4	GOO	OOD
JOB	N	OOV	3	JOB	JOB
,	,	IV	1	,	,
:	,	IV	1	:	:
*	,	IV	1	*	*
			
RT	~	IV	2	RT	RT
@EvaLongoria	@	IV	12	@Ev	ria
:	,	IV	1	:	:
"	,	IV	1	"	"
@celinecullen	@	IV	13	@ce	len
:	,	IV	1	:	:
@EvaLongoria	@	IV	12	@Ev	ria
is	V	IV	2	is	is
stunning	A	IV	8	stu	ing
in	P	IV	2	in	in
this	O	IV	4	thi	his
http://t.co/OWRNhHkhfN	U	IV	22	htt	hfN
"	,	IV	1	"	"
thx	N	OOV	3	thx	thx
Celine	^	IV	6	Cel	ine
!	,	IV	1	!	!
Happy	A	OOV	5	Hap	ppy
Friday	^	IV	6	Fri	day
!	,	IV	1	!	!
			
#Press	#	IV	6	#Pr	ess
Nakheel	^	IV	7	Nak	eel
awards	N	IV	6	awa	rds
AED	G	OOV	3	AED	AED
1.2	$	IV	3	1.2	1.2
bn	V	IV	2	bn	bn
construction	N	IV	12	con	ion
contract	N	IV	8	con	act
for	P	IV	3	for	for
Nakheel	^	IV	7	Nak	eel
Mall	N	IV	4	Mal	all
:	,	IV	1	:	:
Property	N	OOV	8	Pro	rty
developer	N	IV	9	dev	per
Nakheel	^	IV	7	Nak	eel
said	V	IV	4	sai	aid
on	P	IV	2	on	on
Tue	^	IV	3	Tue	Tue
...	~	OOV	3	...	...
http://t.co/a3wM4rxs3I	U	IV	22	htt	s3I
			
im	L	IV	2	im	im
tired	A	IV	5	tir	red
but	&	IV	3	but	but
i	O	IV	1	i	i
dont	V	IV	4	don	ont
wanna	V	IV	5	wan	nna
go	V	IV	2	go	go
(	,	IV	1	(	(
@JamesandSonny	@	IV	14	@Ja	nny
live	V	IV	4	liv	ive
on	P	IV	2	on	on
http://t.co/owVlTWvXDh	U	IV	22	htt	XDh
)	,	IV	1	)	)
			
RT	~	IV	2	RT	RT
@theyadorequeen	@	IV	15	@th	een
:	,	IV	1	:	:
@LoyalKey__	@	IV	11	@Lo	y__
lol	!	IV	3	lol	lol
u	O	IV	1	u	u
crazy	A	IV	5	cra	azy
bruh	N	OOV	4	bru	ruh
			
Handing	V	OOV	7	Han	ing
out	T	IV	3	out	out
the	D	IV	3	the	the
jaggery	^	IV	7	jag	ery
for	P	IV	3	for	for
my	D	IV	2	my	my
wada	^	IV	4	wad	ada
special	A	IV	7	spe	ial
at	P	IV	2	at	at
#AlchemyFestival	#	IV	16	#Al	val
on	P	IV	2	on	on
the	D	IV	3	the	the
Southbank	^	IV	9	Sou	ank
http://t.co/0v8CFj6SOG	U	IV	22	htt	SOG
			
Son	^	IV	3	Son	Son
of	P	IV	2	of	of
Red	A	IV	3	Red	Red
Sox	N	OOV	3	Sox	Sox
broadcaster	N	IV	11	bro	ter
Jerry	^	IV	5	Jer	rry
Remy	^	IV	4	Rem	emy
pleads	V	IV	6	ple	ads
guilty	A	IV	6	gui	lty
to	P	IV	2	to	to
1st-degree	$	IV	10	1st	ree
murder	N	IV	6	mur	der
in	P	IV	2	in	in
girlfriend's	S	IV	12	gir	d's
stabbing	V	IV	8	sta	ing
-	,	IV	1	-	-
via	P	IV	3	via	via
@SportsCenter	@	IV	13	@Sp	ter
http://t.co/a4Sr6dDdd2	U	IV	22	htt	dd2
			
I	O	IV	1	I	I
txted	V	OOV	5	txt	ted
yu	O	IV	2	yu	yu
this	O	IV	4	thi	his
Morning	N	OOV	7	Mor	ing
&	&	OOV	1	&	&
yu	O	IV	2	yu	yu
ainy	!	IV	4	ain	iny
txt	N	OOV	3	txt	txt
me	O	IV	2	me	me
back	R	IV	4	bac	ack
			
Ion	L	IV	3	Ion	Ion
Fuck	!	OOV	4	Fuc	uck
With	P	OOV	4	Wit	ith
To	P	IV	2	To	To
Many	A	OOV	4	Man	any
Niggas	N	OOV	6	Nig	gas
They	O	OOV	4	The	hey
Aint	V	IV	4	Ain	int
Equal	A	OOV	5	Equ	ual
			
The	D	IV	3	The	The
old	A	IV	3	old	old
Bargin	N	OOV	6	Bar	gin
Giant	A	OOV	5	Gia	ant
would	V	IV	5	wou	uld
make	V	IV	4	mak	ake
a	D	IV	1	a	a
good	A	IV	4	goo	ood
entertainment	N	IV	13	ent	ent
centre	N	IV	6	cen	tre
@uptownsaintjohn	@	IV	16	@up	ohn
#renaissancecity	#	IV	16	#re	ity
			
@dreeeaa	@	IV	8	@dr	eaa
i	O	IV	1	i	i
dont	V	IV	4	don	ont
know	V	IV	4	kno	now
where	R	IV	5	whe	ere
she	O	IV	3	she	she
lives	V	IV	5	liv	ves
lol	!	IV	3	lol	lol
			
Baekhyun	^	IV	8	Bae	yun
-	,	IV	1	-	-
140525	$	IV	6	140	525
EXO	^	IV	3	EXO	EXO
from	P	IV	4	fro	rom
Exoplanet	N	OOV	9	Exo	net
#1	$	IV	2	#1	#1
-	,	IV	1	-	-
The	D	IV	3	The	The
Lost	V	OOV	4	Los	ost
Planet	N	OOV	6	Pla	net
in	P	IV	2	in	in
Seoul	^	IV	5	Seo	oul
Credit	N	OOV	6	Cre	dit
:	,	IV	1	:	:
Prelude	N	OOV	7	Pre	ude
.	,	IV	1	.	.
http://t.co/fEGENMvW21	U	IV	22	htt	W21
			
@Mytieyonce	@	IV	11	@My	nce
niggas	N	OOV	6	nig	gas
get	V	IV	3	get	get
mad	A	IV	3	mad	mad
when	R	IV	4	whe	hen
they	O	IV	4	the	hey
lose	V	IV	4	los	ose
and	&	IV	3	and	and
start	V	IV	5	sta	art
taking	V	IV	6	tak	ing
shots	N	IV	5	sho	ots
lol	!	IV	3	lol	lol
			
RT	~	IV	2	RT	RT
@bwalbie	@	IV	8	@bw	bie
:	,	IV	1	:	:
#openfollow	#	IV	11	#op	low
for	P	IV	3	for	for
rp	!	IV	2	rp	rp
,	,	IV	1	,	,
jfb	!	OOV	3	jfb	jfb
,	,	IV	1	,	,
retweet	V	OOV	7	ret	eet
juseyo	!	OOV	6	jus	eyo
!	,	IV	1	!	!
			
EXTEND	V	OOV	6	EXT	END
THE	D	OOV	3	THE	THE
LUV	N	OOV	3	LUV	LUV
.	,	IV	1	.	.
FOLLOW	V	OOV	6	FOL	LOW
ME	O	IV	2	ME	ME
ON	P	IV	2	ON	ON
IG	!	IV	2	IG	IG
=>	G	OOV	2	=>	=>
@DAGR8MOHAMED	@	IV	13	@DA	MED
.	,	IV	1	.	.
WILL	V	OOV	4	WIL	ILL
RECIPROCATE	V	OOV	11	REC	ATE
.	,	IV	1	.	.
http://t.co/NZUw53f5E2	U	IV	22	htt	5E2
			
@PMOIndia	@	IV	9	@PM	dia
@narendramodi	@	IV	13	@na	odi
3	$	IV	1	3	3
days(in	N	OOV	7	day	(in
1825	$	IV	4	182	825
days	N	IV	4	day	ays
)	,	IV	1	)	)
wasted	V	IV	6	was	ted
in	P	IV	2	in	in
photo	N	IV	5	pho	oto
session	N	IV	7	ses	ion
..	,	IV	2	..	..
Ab	!	IV	2	Ab	Ab
kaam	!	OOV	4	kaa	aam
par	N	IV	3	par	par
bhi	^	IV	3	bhi	bhi
lago	!	IV	4	lag	ago
Majdoor	^	IV	7	Maj	oor
no	!	IV	2	no	no
.	,	IV	1	.	.
1	$	IV	1	1	1
			
Kim	^	IV	3	Kim	Kim
Kardashian	^	IV	10	Kar	ian
,	,	IV	1	,	,
Kanye	^	IV	5	Kan	nye
West	^	IV	4	Wes	est
Might	V	OOV	5	Mig	ght
Marry	V	OOV	5	Mar	rry
In	P	IV	2	In	In
Italy	^	IV	5	Ita	aly
,	,	IV	1	,	,
According	V	OOV	9	Acc	ing
To	P	IV	2	To	To
Latest	A	OOV	6	Lat	est
Rumor	N	OOV	5	Rum	mor
-	,	IV	1	-	-
The	D	IV	3	The	The
countdown	N	IV	9	cou	own
to	P	IV	2	to	to
Kim	^	IV	3	Kim	Kim
Kardashian	^	IV	10	Kar	ian
and	&	IV	3	and	and
...	~	OOV	3	...	...
http://t.co/qwvlC0rFpE	U	IV	22	htt	FpE
			
Rana	!	OOV	4	Ran	ana
Samaha	^	IV	6	Sam	aha
,	,	IV	1	,	,
Ignore	V	OOV	6	Ign	ore
all	D	IV	3	all	all
the	D	IV	3	the	the
criticism	N	IV	9	cri	ism
.	,	IV	1	.	.
A	D	IV	1	A	A
spotlight	N	IV	9	spo	ght
can	V	IV	3	can	can
never	R	IV	5	nev	ver
see	V	IV	3	see	see
the	D	IV	3	the	the
shadows	N	IV	7	sha	ows
anyways	!	IV	7	any	ays
you're	L	IV	6	you	're
flawless	A	IV	8	fla	ess
			
@dilipkpandey	@	IV	13	@di	dey
@ArvindKejriwal	@	IV	15	@Ar	wal
next	A	IV	4	nex	ext
time	N	IV	4	tim	ime
try	V	IV	3	try	try
to	P	IV	2	to	to
fight	N	IV	5	fig	ght
the	D	IV	3	the	the
elction	N	OOV	7	elc	ion
with	P	IV	4	wit	ith
winning	V	IV	7	win	ing
spirite	!	IV	7	spi	ite
not	R	IV	3	not	not
with	P	IV	4	wit	ith
spirite	!	IV	7	spi	ite
to	P	IV	2	to	to
defeat	V	IV	6	def	eat
others	N	IV	6	oth	ers
.	,	IV	1	.	.
			
@caseym_ford	@	IV	12	@ca	ord
@homeschool_prbs	@	IV	16	@ho	rbs
@AmyArrington15	@	IV	15	@Am	n15
Ridge	^	IV	5	Rid	dge
Lake	^	IV	4	Lak	ake
Academy	^	IV	7	Aca	emy
.	,	IV	1	.	.
Home	N	IV	4	Hom	ome
of	P	IV	2	of	of
the	D	IV	3	the	the
fighting	V	IV	8	fig	ing
llamas	^	IV	6	lla	mas
.	,	IV	1	.	.
Draco	^	IV	5	Dra	aco
dormiens	!	OOV	8	dor	ens
nunquam	!	OOV	7	nun	uam
titillandus	N	OOV	11	tit	dus
.	,	IV	1	.	.
			
Its	L	OOV	3	Its	Its
better	A	IV	6	bet	ter
than	P	IV	4	tha	han
starving	V	IV	8	sta	ing
bruh	N	OOV	4	bru	ruh
"	,	IV	1	"	"
@TheOfficialABD_	@	IV	16	@Th	BD_
:	,	IV	1	:	:
Wht	O	OOV	3	Wht	Wht
if	P	IV	2	if	if
I	O	IV	1	I	I
tell	V	IV	4	tel	ell
u	O	IV	1	u	u
ur	L	IV	2	ur	ur
certificate	N	IV	11	cer	ate
will	V	IV	4	wil	ill
only	R	IV	4	onl	nly
put	V	IV	3	put	put
food	N	IV	4	foo	ood
on	P	IV	2	on	on
ur	L	IV	2	ur	ur
table	N	IV	5	tab	ble
?	,	IV	1	?	?
And	&	IV	3	And	And
not	R	IV	3	not	not
make	V	IV	4	mak	ake
u	O	IV	1	u	u
really	R	IV	6	rea	lly
Rich	A	IV	4	Ric	ich
"	,	IV	1	"	"
			
Whenever	R	OOV	8	Whe	ver
you	O	IV	3	you	you
Trynna	V	OOV	6	Try	nna
go	V	IV	2	go	go
to	P	IV	2	to	to
game	N	IV	4	gam	ame
stop	V	IV	4	sto	top
today	N	IV	5	tod	day
Lmk	!	OOV	3	Lmk	Lmk
@CG_Diablo	@	IV	10	@CG	blo
			
RT	~	IV	2	RT	RT
@alissahupp	@	IV	11	@al	upp
:	,	IV	1	:	:
Idk	L	OOV	3	Idk	Idk
who	O	IV	3	who	who
I	O	IV	1	I	I
hate	V	IV	4	hat	ate
more	A	IV	4	mor	ore
guys	N	IV	4	guy	uys
or	&	IV	2	or	or
girls	N	IV	5	gir	rls
lol	!	IV	3	lol	lol
			
RT	~	IV	2	RT	RT
@reggaeville	@	IV	12	@re	lle
:	,	IV	1	:	:
NEW	A	OOV	3	NEW	NEW
TUNE	N	OOV	4	TUN	UNE
:	,	IV	1	:	:
Tarrus	^	IV	6	Tar	rus
Riley	^	IV	5	Ril	ley
-	,	IV	1	-	-
Greatest	A	OOV	8	Gre	est
Creation	N	IV	8	Cre	ion
[	,	IV	1	[	[
Greatest	A	OOV	8	Gre	est
Creation	N	IV	8	Cre	ion
Riddim	N	OOV	6	Rid	dim
-	,	IV	1	-	-
Jukeboxx	N	OOV	8	Juk	oxx
Productions	N	OOV	11	Pro	ons
http://t.co/kfmgBux1E6	U	IV	22	htt	1E6
			
@Ifreke	@	IV	7	@If	eke
something	N	IV	9	som	ing
about	P	IV	5	abo	out
ur	L	IV	2	ur	ur
tweets	N	IV	6	twe	ets
with	P	IV	4	wit	ith
the	D	IV	3	the	the
MTN	^	IV	3	MTN	MTN
hashtag	N	OOV	7	has	tag
.	,	IV	1	.	.
Something	N	OOV	9	Som	ing
not	R	IV	3	not	not
right	!	IV	5	rig	ght
though	P	IV	6	tho	ugh
.	,	IV	1	.	.
			
@HarleyHorcrux	@	IV	14	@Ha	rux
boys	N	IV	4	boy	oys
r	V	IV	1	r	r
fuckin	!	IV	6	fuc	kin
idiots	N	IV	6	idi	ots
forever	R	IV	7	for	ver
dont	V	IV	4	don	ont
listen	V	IV	6	lis	ten
to	P	IV	2	to	to
them	O	IV	4	the	hem
			
1	$	IV	1	1	1
tweep	N	OOV	5	twe	eep
unfollowed	V	OOV	10	unf	wed
(	,	IV	1	(	(
goodbye	!	IV	7	goo	bye
!	,	IV	1	!	!
)	,	IV	1	)	)
me	O	IV	2	me	me
in	P	IV	2	in	in
the	D	IV	3	the	the
past	A	IV	4	pas	ast
week	N	IV	4	wee	eek
.	,	IV	1	.	.
Thank	V	IV	5	Tha	ank
you	O	IV	3	you	you
http://t.co/wQcw09u9NG	U	IV	22	htt	9NG
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@liamonaprayer	@	IV	14	@li	yer
:	,	IV	1	:	:
CAN	V	OOV	3	CAN	CAN
WE	O	IV	2	WE	WE
PLEASE	V	OOV	6	PLE	ASE
HAVR	V	OOV	4	HAV	AVR
A	D	IV	1	A	A
MERCH	N	OOV	5	MER	RCH
JACKET	N	OOV	6	JAC	KET
THAT	O	OOV	4	THA	HAT
SAYS	V	OOV	4	SAY	AYS
TEAM	N	OOV	4	TEA	EAM
NIALL	^	IV	5	NIA	ALL
ON	P	IV	2	ON	ON
THE	D	OOV	3	THE	THE
BACK	R	OOV	4	BAC	ACK
			
@GaPeach_est1083	@	IV	16	@Ga	083
I	O	IV	1	I	I
hate	V	IV	4	hat	ate
u	O	IV	1	u	u
RT'd	V	OOV	4	RT'	T'd
that	O	IV	4	tha	hat
and	&	IV	3	and	and
made	V	IV	4	mad	ade
me	O	IV	2	me	me
click	N	IV	5	cli	ick
on	P	IV	2	on	on
their	D	IV	5	the	eir
bitch	N	IV	5	bit	tch
ass	N	IV	3	ass	ass
